	0
1	1
10	2
100	3
100000	6
1000000	7
101	3
102	3
103	3
104	3
10440	5
105	3
106	3
107	3
108	3
10800	5
109	3
11	2
110	3
111	3
112	3
113	3
114	3
115	3
116	3
117	3
118	3
119	3
12	2
120	3
121	3
122	3
123	3
124	3
125	3
126	3
127	3
128	3
129	3
13	2
130	3
13000	5
131	3
132	3
133	3
134	3
1342	4
13420txt	8
13420zip	8
135	3
14	2
144000	6
1492	4
15	2
150	3
1500	4
150000	6
15th	4
16	2
1652	4
1668	4
1671	4
1690	4
1695	4
16th	4
17	2
1726	4
1729	4
1750	4
1772	4
1775	4
1776	4
1778	4
1779	4
1788	4
1791	4
1793	4
18	2
180	3
1807	4
1819	4
1820	4
1821	4
1825	4
1828	4
1833	4
1836	4
1839	4
1840	4
1842	4
1846	4
1850	4
1851	4
18th	4
19	2
1915	4
1998	4
1A	2
1B	2
1C	2
1D	2
1E	2
1E1	3
1E2	3
1E3	3
1E4	3
1E5	3
1E6	3
1E7	3
1E8	3
1E9	3
1F	2
1F1	3
1F2	3
1F3	3
1F4	3
1F5	3
1F6	3
1ST	3
1st	3
2	1
20	2
2000	4
20000	5
20000000	8
2001	4
2008	4
200th	5
2011	4
2017	4
2018	4
21	2
21st	4
22	2
23	2
24	2
25	2
25000	5
26	2
26th	4
27	2
2701	4
27010txt	8
27010zip	8
275th	5
28	2
2800	4
29	2
2ND	3
3	1
30	2
31	2
31st	4
32	2
33	2
34	2
35	2
35688	5
35688txt	8
35688zip	8
36	2
37	2
38	2
39	2
3D	2
3d	2
4	1
40	2
4000	4
400000	6
4000000	7
41	2
42	2
43	2
44	2
45	2
4557	4
45he	4
46	2
47	2
48	2
49	2
4TH	3
5	1
50	2
500	3
5000	4
501c3	5
51	2
52	2
53	2
54	2
5400	4
55	2
550	3
550000	6
56	2
57	2
58	2
59	2
5961887	7
5TH	3
6	1
60	2
60000	5
61	2
62	2
63	2
64	2
646221541	9
65	2
66	2
67	2
68	2
69	2
7	1
70	2
7000000	7
71	2
72	2
72000	5
73	2
74	2
75	2
76	2
77	2
78	2
79	2
8	1
80	2
801	3
809	3
81	2
82	2
83	2
84	2
84116	5
85	2
86	2
87	2
88	2
89	2
890	3
9	1
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	2
99712	5
A	1
ACMcClurg	9
ACT	3
ACTUAL	6
AD	2
AFFGHANISTAN	12
AGREE	5
AGREEMENT	9
AHAB	4
AK	2
ALICE	5
ALICES	6
ALL	3
ALONE	5
AM	2
AND	3
ANY	3
ANYTHING	8
AS	2
ASCII	5
ASIS	4
AZORE	5
Abashed	7
Abednego	8
Abel	4
Abjectus	8
Aboard	6
Abominable	10
About	5
Above	5
Abraham	7
Absence	7
Academy	7
Accept	6
Accessory	9
According	9
Accordingly	11
Account	7
Accursed	8
Achilless	9
Actium	6
Acushnet	8
Adam	4
Adams	5
Additional	10
Adelaide	8
Adieu	5
Adios	5
Admiral	7
Admirals	8
Advance	7
Advancement	11
Advancing	9
Adventures	10
Adverse	7
Advocate	8
Affectation	11
Affected	8
Affidavit	9
Affrighted	10
Afric	5
Africa	6
African	7
Africans	8
Aft	3
After	5
Afterwards	10
Again	5
Against	7
Agassiz	7
Ages	4
Ah	2
Ahab	4
AhabBut	7
Ahaball	7
Ahabaye	7
Ahabhis	7
Ahabin	6
Ahabinvested	12
Ahabis	6
Ahabs	5
Ahabshudder	11
Ahabso	6
Ahabtheres	10
Ahabthough	10
Ahabtouch	9
Ahasuerus	9
Ahazdial	8
Ahoy	4
Aint	4
Air	3
Akin	4
Alabama	7
Aladdins	8
Alarmed	7
Alas	4
Albatross	9
Albemarle	9
Albert	6
Albicore	8
Albino	6
Aldrovandi	10
Aldrovandus	11
Alexander	9
Alexanders	10
